Entity,Code,Year,Prevalence of current tobacco use (% of adults),Continent,Prevalence of current tobacco use (% of adults),Year
Abkhazia,OWID_ABK,2015,,Asia,,
Afghanistan,AFG,2000,36.900001525878906,,23.799999237060547,2018
Afghanistan,AFG,2005,32.70000076293945,,23.799999237060547,2018
Afghanistan,AFG,2010,29.100000381469727,,23.799999237060547,2018
Afghanistan,AFG,2015,26,Asia,23.799999237060547,2018
Afghanistan,AFG,2018,23.799999237060547,,23.799999237060547,2018
Afghanistan,AFG,2019,23.799999237060547,,23.799999237060547,2018
Afghanistan,AFG,2020,23.299999237060547,,23.799999237060547,2018
Akrotiri and Dhekelia,OWID_AKD,2015,,Asia,,
Albania,ALB,2000,35,,23,2018
Albania,ALB,2005,31.299999237060547,,23,2018
Albania,ALB,2010,28,,23,2018
Albania,ALB,2015,25.100000381469727,Europe,23,2018
Albania,ALB,2018,23,,23,2018
Albania,ALB,2019,23,,23,2018
Albania,ALB,2020,22.399999618530273,,23,2018
Algeria,DZA,2000,22.200000762939453,,21,2018
Algeria,DZA,2005,21.799999237060547,,21,2018
Algeria,DZA,2010,21.5,,21,2018
Algeria,DZA,2015,21.100000381469727,Africa,21,2018
Algeria,DZA,2018,21,,21,2018
Algeria,DZA,2019,21,,21,2018
Algeria,DZA,2020,21,,21,2018
American Samoa,ASM,2015,,Oceania,,
Andorra,AND,2000,35.900001525878906,,32,2018
Andorra,AND,2005,34.79999923706055,,32,2018
Andorra,AND,2010,34,,32,2018
Andorra,AND,2015,33,Europe,32,2018
Andorra,AND,2018,32,,32,2018
Andorra,AND,2019,32,,32,2018
Andorra,AND,2020,31.799999237060547,,32,2018
Angola,AGO,2015,,Africa,,
Anguilla,AIA,2015,,North America,,
Antarctica,ATA,2015,,Antarctica,,
Antigua and Barbuda,ATG,2015,,North America,,
Argentina,ARG,2000,34,,24.899999618530273,2018
Argentina,ARG,2005,31.5,,24.899999618530273,2018
Argentina,ARG,2010,28.899999618530273,,24.899999618530273,2018
Argentina,ARG,2015,26.600000381469727,South America,24.899999618530273,2018
Argentina,ARG,2018,24.899999618530273,,24.899999618530273,2018
Argentina,ARG,2019,24.899999618530273,,24.899999618530273,2018
Argentina,ARG,2020,24.5,,24.899999618530273,2018
Armenia,ARM,2000,32,,25.799999237060547,2018
Armenia,ARM,2005,30.299999237060547,,25.799999237060547,2018
Armenia,ARM,2010,28.600000381469727,,25.799999237060547,2018
Armenia,ARM,2015,26.899999618530273,Asia,25.799999237060547,2018
Armenia,ARM,2018,25.799999237060547,,25.799999237060547,2018
Armenia,ARM,2019,25.799999237060547,,25.799999237060547,2018
Armenia,ARM,2020,25.5,,25.799999237060547,2018
Aruba,ABW,2015,,North America,,
Australia,AUS,2000,24.399999618530273,,14,2018
Australia,AUS,2005,21.100000381469727,,14,2018
Australia,AUS,2010,18.200000762939453,,14,2018
Australia,AUS,2015,15.699999809265137,Oceania,14,2018
Australia,AUS,2018,14,,14,2018
Australia,AUS,2019,14,,14,2018
Australia,AUS,2020,13.600000381469727,,14,2018
Austria,AUT,2000,52.29999923706055,,27.100000381469727,2018
Austria,AUT,2005,43.79999923706055,,27.100000381469727,2018
Austria,AUT,2010,37.099998474121094,,27.100000381469727,2018
Austria,AUT,2015,31.200000762939453,Europe,27.100000381469727,2018
Austria,AUT,2018,27.100000381469727,,27.100000381469727,2018
Austria,AUT,2019,27.100000381469727,,27.100000381469727,2018
Austria,AUT,2020,26.399999618530273,,27.100000381469727,2018
Austria-Hungary,OWID_AUH,2015,,Europe,,
Azerbaijan,AZE,2000,28.700000762939453,,24.200000762939453,2018
Azerbaijan,AZE,2005,27.600000381469727,,24.200000762939453,2018
Azerbaijan,AZE,2010,26.200000762939453,,24.200000762939453,2018
Azerbaijan,AZE,2015,25.200000762939453,Asia,24.200000762939453,2018
Azerbaijan,AZE,2018,24.200000762939453,,24.200000762939453,2018
Azerbaijan,AZE,2019,24.200000762939453,,24.200000762939453,2018
Azerbaijan,AZE,2020,24,,24.200000762939453,2018
Baden,OWID_BAD,2015,,Europe,,
Bahamas,BHS,2000,10.699999809265137,,10.699999809265137,2018
Bahamas,BHS,2005,10.699999809265137,,10.699999809265137,2018
Bahamas,BHS,2010,10.699999809265137,,10.699999809265137,2018
Bahamas,BHS,2015,10.600000381469727,North America,10.699999809265137,2018
