"","region","long","lat","group","order","subregion","iso_a3","continent"
"1","Afghanistan",66.5667953491211,30.9965839385986,2,144,NA,"AFG","Asia"
"2","Afghanistan",72.43115234375,36.7658195495605,2,37,NA,"AFG","Asia"
"3","Afghanistan",64.0513687133789,36.067626953125,2,284,NA,"AFG","Asia"
"4","Afghanistan",63.1299819946289,35.84619140625,2,275,NA,"AFG","Asia"
"5","Afghanistan",64.5110321044922,36.3406753540039,2,288,NA,"AFG","Asia"
"6","Afghanistan",73.6046829223633,37.446044921875,2,399,NA,"AFG","Asia"
"7","Afghanistan",64.0921859741211,36.1126976013184,2,285,NA,"AFG","Asia"
"8","Afghanistan",64.1843719482422,36.14892578125,2,286,NA,"AFG","Asia"
"9","Afghanistan",73.4111328125,36.8816909790039,2,31,NA,"AFG","Asia"
"10","Afghanistan",63.1789093017578,35.8584480285645,2,276,NA,"AFG","Asia"
"11","Afghanistan",72.9937438964844,36.8516120910645,2,33,NA,"AFG","Asia"
"12","Afghanistan",64.3580093383789,36.22607421875,2,287,NA,"AFG","Asia"
"13","Afghanistan",65.9616241455078,29.7789077758789,2,158,NA,"AFG","Asia"
"14","Afghanistan",64.0423812866211,36.0250968933105,2,283,NA,"AFG","Asia"
"15","Afghanistan",74.4310607910156,36.9836921691895,2,24,NA,"AFG","Asia"
"16","Afghanistan",72.6228561401367,36.82958984375,2,35,NA,"AFG","Asia"
"17","Afghanistan",66.2312545776367,29.86572265625,2,156,NA,"AFG","Asia"
"18","Afghanistan",63.1085929870605,35.8186988830566,2,274,NA,"AFG","Asia"
"19","Afghanistan",71.8020477294922,36.6942863464355,2,389,NA,"AFG","Asia"
"20","Afghanistan",65.6662139892578,29.7013206481934,2,159,NA,"AFG","Asia"
"21","Afghanistan",64.0096740722656,36.0121116638184,2,282,NA,"AFG","Asia"
"22","Afghanistan",63.5169906616211,35.9131355285645,2,278,NA,"AFG","Asia"
"23","Afghanistan",66.2384796142578,30.109619140625,2,152,NA,"AFG","Asia"
"24","Afghanistan",73.1167984008789,36.8685569763184,2,32,NA,"AFG","Asia"
"25","Afghanistan",66.3133773803711,29.9685554504395,2,154,NA,"AFG","Asia"
"26","Afghanistan",66.1770553588867,29.8355941772461,2,157,NA,"AFG","Asia"
"27","Afghanistan",72.5313491821289,36.802001953125,2,36,NA,"AFG","Asia"
"28","Afghanistan",61.1892623901367,35.31201171875,2,239,NA,"AFG","Asia"
"29","Afghanistan",71.6656265258789,36.6969223022461,2,387,NA,"AFG","Asia"
"30","Afghanistan",71.5974578857422,36.73291015625,2,386,NA,"AFG","Asia"
"31","Afghanistan",65.4709930419922,29.6515617370605,2,160,NA,"AFG","Asia"
"32","Afghanistan",65.1804656982422,29.5776348114014,2,161,NA,"AFG","Asia"
"33","Afghanistan",63.9380836486816,36.0197257995605,2,281,NA,"AFG","Asia"
"34","Afghanistan",63.6965827941895,35.9678192138672,2,279,NA,"AFG","Asia"
"35","Afghanistan",64.5658187866211,36.4275894165039,2,289,NA,"AFG","Asia"
"36","Afghanistan",64.67431640625,36.7501945495605,2,291,NA,"AFG","Asia"
"37","Afghanistan",73.9078140258789,36.8529319763184,2,28,NA,"AFG","Asia"
"38","Afghanistan",66.2471694946289,30.0435066223145,2,153,NA,"AFG","Asia"
"39","Afghanistan",72.7662124633789,36.8350105285645,2,34,NA,"AFG","Asia"
"40","Afghanistan",74.1947250366211,36.8968772888184,2,25,NA,"AFG","Asia"
"41","Afghanistan",74.5414047241211,37.0221710205078,2,23,NA,"AFG","Asia"
"42","Afghanistan",61.19921875,35.3616218566895,2,240,NA,"AFG","Asia"
"43","Afghanistan",69.2565383911133,32.2494621276855,2,109,NA,"AFG","Asia"
"44","Afghanistan",71.7337875366211,36.6840324401855,2,388,NA,"AFG","Asia"
"45","Afghanistan",66.5958023071289,31.0199699401855,2,143,NA,"AFG","Asia"
"46","Afghanistan",71.9419937133789,36.7664527893066,2,390,NA,"AFG","Asia"
"47","Afghanistan",63.8624992370605,36.0123519897461,2,280,NA,"AFG","Asia"
"48","Afghanistan",63.3016586303711,35.8583984375,2,277,NA,"AFG","Asia"
"49","Afghanistan",74.0018539428711,36.8230972290039,2,27,NA,"AFG","Asia"
"50","Afghanistan",64.6025390625,36.5545425415039,2,290,NA,"AFG","Asia"
"51","Afghanistan",64.7531204223633,36.9647941589355,2,292,NA,"AFG","Asia"
"52","Afghanistan",73.7318344116211,36.8877906799316,2,30,NA,"AFG","Asia"
"53","Afghanistan",73.4813461303711,37.4716796875,2,398,NA,"AFG","Asia"
"54","Afghanistan",66.2818374633789,30.1934566497803,2,151,NA,"AFG","Asia"
"55","Afghanistan",74.5264587402344,37.0306625366211,2,22,NA,"AFG","Asia"
"56","Afghanistan",62.8580055236816,35.3496589660645,2,266,NA,"AFG","Asia"
"57","Afghanistan",61.2256851196289,35.4244613647461,2,241,NA,"AFG","Asia"
"58","Afghanistan",73.6326141357422,37.4372062683105,2,400,NA,"AFG","Asia"
"59","Afghanistan",61.8108406066895,30.9132823944092,2,184,NA,"AFG","Asia"
"60","Afghanistan",62.3866195678711,35.2312507629395,2,260,NA,"AFG","Asia"
"61","Afghanistan",73.7337875366211,37.3757820129395,2,403,NA,"AFG","Asia"
"62","Afghanistan",61.2620086669922,35.6195793151855,2,245,NA,"AFG","Asia"
"63","Afghanistan",66.3971710205078,30.9122066497803,2,146,NA,"AFG","Asia"
"64","Afghanistan",66.3468704223633,30.8027839660645,2,147,NA,"AFG","Asia"
"65","Afghanistan",73.7691421508789,36.8884773254395,2,29,NA,"AFG","Asia"
"66","Afghanistan",73.3829116821289,37.4622573852539,2,397,NA,"AFG","Asia"
"67","Afghanistan",63.1299819946289,35.7667465209961,2,273,NA,"AFG","Asia"
"68","Afghanistan",72.8955078125,37.2675285339355,2,395,NA,"AFG","Asia"
"69","Afghanistan",69.2414016723633,32.4335441589355,2,108,NA,"AFG","Asia"
"70","Afghanistan",66.8292922973633,31.263671875,2,140,NA,"AFG","Asia"
"71","Afghanistan",66.6242218017578,31.0460433959961,2,142,NA,"AFG","Asia"
"72","Afghanistan",73.6571273803711,37.4304695129395,2,401,NA,"AFG","Asia"
"73","Afghanistan",61.8142585754395,31.0725593566895,2,185,NA,"AFG","Asia"
"74","Afghanistan",74.8402328491211,37.2250518798828,2,13,NA,"AFG","Asia"
"75","Afghanistan",74.7673797607422,37.2491722106934,2,14,NA,"AFG","Asia"
"76","Afghanistan",61.2818374633789,35.5534210205078,2,244,NA,"AFG","Asia"
"77","Afghanistan",61.3447303771973,35.6294898986816,2,246,NA,"AFG","Asia"
"78","Afghanistan",64.5210952758789,29.5645008087158,2,166,NA,"AFG","Asia"
"79","Afghanistan",66.2869110107422,29.9200191497803,2,155,NA,"AFG","Asia"
"80","Afghanistan",73.2111282348633,37.4084968566895,2,396,NA,"AFG","Asia"
"81","Afghanistan",62.9802742004395,35.4091796875,2,267,NA,"AFG","Asia"
"82","Afghanistan",64.8163070678711,37.132080078125,2,294,NA,"AFG","Asia"
