"","region","iso_a3","continent"
"1","Afghanistan","AFG","Asia"
"7","United Arab Emirates","ARE","Asia"
"9","Armenia","ARM","Asia"
"17","Azerbaijan","AZE","Asia"
"22","Bangladesh","BGD","Asia"
"24","Bahrain","BHR","Asia"
"34","Brunei","BRN","Asia"
"35","Bhutan","BTN","Asia"
"41","China","CHN","Asia"
"54","N. Cyprus",NA,"Asia"
"55","Cyprus","CYP","Asia"
"77","Georgia","GEO","Asia"
"90","Hong Kong","HKG","Asia"
"96","Indonesia","IDN","Asia"
"98","India","IND","Asia"
"99","Indian Ocean Ter.",NA,"Asia"
"102","Iran","IRN","Asia"
"103","Iraq","IRQ","Asia"
"105","Israel","ISR","Asia"
"109","Jordan","JOR","Asia"
"110","Japan","JPN","Asia"
"111","Siachen Glacier",NA,"Asia"
"112","Kazakhstan","KAZ","Asia"
"114","Kyrgyzstan","KGZ","Asia"
"115","Cambodia","KHM","Asia"
"118","Korea","KOR","Asia"
"120","Kuwait","KWT","Asia"
"121","Lao PDR","LAO","Asia"
"122","Lebanon","LBN","Asia"
"127","Sri Lanka","LKA","Asia"
"132","Macao","MAC","Asia"
"144","Myanmar","MMR","Asia"
"146","Mongolia","MNG","Asia"
"153","Malaysia","MYS","Asia"
"163","Nepal","NPL","Asia"
"166","Oman","OMN","Asia"
"167","Pakistan","PAK","Asia"
"171","Philippines","PHL","Asia"
"176","Dem. Rep. Korea","PRK","Asia"
"179","Palestine","PSE","Asia"
"181","Qatar","QAT","Asia"
"186","Saudi Arabia","SAU","Asia"
"190","Singapore","SGP","Asia"
"209","Syria","SYR","Asia"
"213","Thailand","THA","Asia"
"214","Tajikistan","TJK","Asia"
"215","Turkmenistan","TKM","Asia"
"216","Timor-Leste","TLS","Asia"
"220","Turkey","TUR","Asia"
"221","Taiwan","TWN","Asia"
"227","Uzbekistan","UZB","Asia"
"233","Vietnam","VNM","Asia"
"237","Yemen","YEM","Asia"
