Entity,Code,Year,Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number),Income classifications (World Bank (2017)),Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number),Year
Afghanistan,AFG,1990,5174,Low income,10306,2019
Afghanistan,AFG,1991,5247,Low income,10306,2019
Afghanistan,AFG,1992,5363,Low income,10306,2019
Afghanistan,AFG,1993,5522,Low income,10306,2019
Afghanistan,AFG,1994,5689,Low income,10306,2019
Afghanistan,AFG,1995,5801,Low income,10306,2019
Afghanistan,AFG,1996,5934,Low income,10306,2019
Afghanistan,AFG,1997,6066,Low income,10306,2019
Afghanistan,AFG,1998,6178,Low income,10306,2019
Afghanistan,AFG,1999,6288,Low income,10306,2019
Afghanistan,AFG,2000,6378,Low income,10306,2019
Afghanistan,AFG,2001,6505,Low income,10306,2019
Afghanistan,AFG,2002,6488,Low income,10306,2019
Afghanistan,AFG,2003,6528,Low income,10306,2019
Afghanistan,AFG,2004,6594,Low income,10306,2019
Afghanistan,AFG,2005,6636,Low income,10306,2019
Afghanistan,AFG,2006,6720,Low income,10306,2019
Afghanistan,AFG,2007,6849,Low income,10306,2019
Afghanistan,AFG,2008,7026,Low income,10306,2019
Afghanistan,AFG,2009,7181,Low income,10306,2019
Afghanistan,AFG,2010,7340,Low income,10306,2019
Afghanistan,AFG,2011,7572,Low income,10306,2019
Afghanistan,AFG,2012,7856,Low income,10306,2019
Afghanistan,AFG,2013,8124,Low income,10306,2019
Afghanistan,AFG,2014,8429,Low income,10306,2019
Afghanistan,AFG,2015,8786,Low income,10306,2019
Afghanistan,AFG,2016,9157,Low income,10306,2019
Afghanistan,AFG,2017,9586,,10306,2019
Afghanistan,AFG,2018,9975,,10306,2019
Afghanistan,AFG,2019,10306,,10306,2019
Afghanistan,AFG,1987,,Low income,10306,2019
Afghanistan,AFG,1988,,Low income,10306,2019
Afghanistan,AFG,1989,,Low income,10306,2019
African Region (WHO),,1990,175454,,236433,2019
African Region (WHO),,1991,179235,,236433,2019
African Region (WHO),,1992,183931,,236433,2019
African Region (WHO),,1993,185843,,236433,2019
African Region (WHO),,1994,190794,,236433,2019
African Region (WHO),,1995,195921,,236433,2019
African Region (WHO),,1996,201739,,236433,2019
African Region (WHO),,1997,209218,,236433,2019
African Region (WHO),,1998,213098,,236433,2019
African Region (WHO),,1999,212744,,236433,2019
African Region (WHO),,2000,215529,,236433,2019
African Region (WHO),,2001,214909,,236433,2019
African Region (WHO),,2002,215498,,236433,2019
African Region (WHO),,2003,216621,,236433,2019
African Region (WHO),,2004,216528,,236433,2019
African Region (WHO),,2005,216049,,236433,2019
African Region (WHO),,2006,217167,,236433,2019
African Region (WHO),,2007,216340,,236433,2019
African Region (WHO),,2008,216666,,236433,2019
African Region (WHO),,2009,217701,,236433,2019
African Region (WHO),,2010,218518,,236433,2019
African Region (WHO),,2011,219104,,236433,2019
African Region (WHO),,2012,220369,,236433,2019
African Region (WHO),,2013,221841,,236433,2019
African Region (WHO),,2014,224485,,236433,2019
African Region (WHO),,2015,227269,,236433,2019
African Region (WHO),,2016,229185,,236433,2019
African Region (WHO),,2017,231791,,236433,2019
African Region (WHO),,2018,233548,,236433,2019
African Region (WHO),,2019,236433,,236433,2019
Albania,ALB,1990,2752,Lower-middle income,4425,2019
Albania,ALB,1991,2809,Lower-middle income,4425,2019
Albania,ALB,1992,2705,Lower-middle income,4425,2019
Albania,ALB,1993,2603,Low income,4425,2019
Albania,ALB,1994,2453,Low income,4425,2019
Albania,ALB,1995,2550,Low income,4425,2019
Albania,ALB,1996,2674,Lower-middle income,4425,2019
Albania,ALB,1997,2745,Low income,4425,2019
Albania,ALB,1998,2788,Lower-middle income,4425,2019
Albania,ALB,1999,2795,Lower-middle income,4425,2019
Albania,ALB,2000,2832,Lower-middle income,4425,2019
Albania,ALB,2001,2768,Lower-middle income,4425,2019
Albania,ALB,2002,2898,Lower-middle income,4425,2019
Albania,ALB,2003,3100,Lower-middle income,4425,2019
Albania,ALB,2004,3166,Lower-middle income,4425,2019
Albania,ALB,2005,3108,Lower-middle income,4425,2019
Albania,ALB,2006,2973,Lower-middle income,4425,2019
Albania,ALB,2007,2899,Lower-middle income,4425,2019
Albania,ALB,2008,3011,Lower-middle income,4425,2019
Albania,ALB,2009,3061,Upper-middle income,4425,2019
Albania,ALB,2010,3147,Upper-middle income,4425,2019
Albania,ALB,2011,3302,Lower-middle income,4425,2019
Albania,ALB,2012,3411,Upper-middle income,4425,2019
Albania,ALB,2013,3544,Upper-middle income,4425,2019
Albania,ALB,2014,3741,Upper-middle income,4425,2019
Albania,ALB,2015,3936,Upper-middle income,4425,2019
Albania,ALB,2016,4058,Upper-middle income,4425,2019
Albania,ALB,2017,4183,,4425,2019
Albania,ALB,2018,4304,,4425,2019
Albania,ALB,2019,4425,,4425,2019
Albania,ALB,1987,,Not categorized,4425,2019
Albania,ALB,1988,,Not categorized,4425,2019
Albania,ALB,1989,,Not categorized,4425,2019
Algeria,DZA,1990,13780,Lower-middle income,21555,2019
Algeria,DZA,1991,14233,Lower-middle income,21555,2019
Algeria,DZA,1992,14541,Lower-middle income,21555,2019
Algeria,DZA,1993,14827,Lower-middle income,21555,2019
Algeria,DZA,1994,15078,Lower-middle income,21555,2019
Algeria,DZA,1995,15270,Lower-middle income,21555,2019
Algeria,DZA,1996,15364,Lower-middle income,21555,2019
Algeria,DZA,1997,15420,Lower-middle income,21555,2019
Algeria,DZA,1998,15442,Lower-middle income,21555,2019
Algeria,DZA,1999,15611,Lower-middle income,21555,2019
Algeria,DZA,2000,15654,Lower-middle income,21555,2019
Algeria,DZA,2001,15699,Lower-middle income,21555,2019
Algeria,DZA,2002,15762,Lower-middle income,21555,2019
Algeria,DZA,2003,15844,Lower-middle income,21555,2019
Algeria,DZA,2004,15980,Lower-middle income,21555,2019
Algeria,DZA,2005,16144,Lower-middle income,21555,2019
Algeria,DZA,2006,16306,Lower-middle income,21555,2019
Algeria,DZA,2007,16513,Lower-middle income,21555,2019
Algeria,DZA,2008,16733,Upper-middle income,21555,2019
Algeria,DZA,2009,17014,Upper-middle income,21555,2019
Algeria,DZA,2010,17238,Upper-middle income,21555,2019
Algeria,DZA,2011,17595,Upper-middle income,21555,2019
Algeria,DZA,2012,17978,Upper-middle income,21555,2019
Algeria,DZA,2013,18318,Upper-middle income,21555,2019
Algeria,DZA,2014,18740,Upper-middle income,21555,2019
Algeria,DZA,2015,19251,Upper-middle income,21555,2019
Algeria,DZA,2016,19759,Upper-middle income,21555,2019
Algeria,DZA,2017,20376,,21555,2019
Algeria,DZA,2018,20914,,21555,2019
Algeria,DZA,2019,21555,,21555,2019
Algeria,DZA,1987,,Upper-middle income,21555,2019
Algeria,DZA,1988,,Upper-middle income,21555,2019
Algeria,DZA,1989,,Lower-middle income,21555,2019
American Samoa,ASM,1990,34,Upper-middle income,55,2019
American Samoa,ASM,1991,35,Upper-middle income,55,2019
American Samoa,ASM,1992,36,Upper-middle income,55,2019
American Samoa,ASM,1993,36,Upper-middle income,55,2019
American Samoa,ASM,1994,37,Upper-middle income,55,2019
American Samoa,ASM,1995,38,Upper-middle income,55,2019
American Samoa,ASM,1996,39,Upper-middle income,55,2019
American Samoa,ASM,1997,40,Upper-middle income,55,2019
American Samoa,ASM,1998,41,Upper-middle income,55,2019
American Samoa,ASM,1999,42,Upper-middle income,55,2019
American Samoa,ASM,2000,43,Upper-middle income,55,2019
American Samoa,ASM,2001,43,Upper-middle income,55,2019
American Samoa,ASM,2002,44,Upper-middle income,55,2019
American Samoa,ASM,2003,45,Upper-middle income,55,2019
American Samoa,ASM,2004,45,Upper-middle income,55,2019
American Samoa,ASM,2005,45,Upper-middle income,55,2019
American Samoa,ASM,2006,46,Upper-middle income,55,2019
American Samoa,ASM,2007,46,Upper-middle income,55,2019
American Samoa,ASM,2008,47,Upper-middle income,55,2019
American Samoa,ASM,2009,48,Upper-middle income,55,2019
American Samoa,ASM,2010,48,Upper-middle income,55,2019
American Samoa,ASM,2011,49,Upper-middle income,55,2019
American Samoa,ASM,2012,49,Upper-middle income,55,2019
American Samoa,ASM,2013,50,Upper-middle income,55,2019
American Samoa,ASM,2014,51,Upper-middle income,55,2019
American Samoa,ASM,2015,52,Upper-middle income,55,2019
American Samoa,ASM,2016,53,Upper-middle income,55,2019
American Samoa,ASM,2017,53,,55,2019
American Samoa,ASM,2018,54,,55,2019
American Samoa,ASM,2019,55,,55,2019
American Samoa,ASM,1987,,High income,55,2019
American Samoa,ASM,1988,,High income,55,2019
American Samoa,ASM,1989,,High income,55,2019
Andorra,AND,1990,60,High income,106,2019
Andorra,AND,1991,63,High income,106,2019
Andorra,AND,1992,67,High income,106,2019
Andorra,AND,1993,71,High income,106,2019
Andorra,AND,1994,72,High income,106,2019
Andorra,AND,1995,74,High income,106,2019
Andorra,AND,1996,75,High income,106,2019
Andorra,AND,1997,76,High income,106,2019
Andorra,AND,1998,78,High income,106,2019
Andorra,AND,1999,79,High income,106,2019
Andorra,AND,2000,81,High income,106,2019
Andorra,AND,2001,82,High income,106,2019
Andorra,AND,2002,84,High income,106,2019
Andorra,AND,2003,87,High income,106,2019
Andorra,AND,2004,89,High income,106,2019
Andorra,AND,2005,90,High income,106,2019
Andorra,AND,2006,92,High income,106,2019
Andorra,AND,2007,94,High income,106,2019
Andorra,AND,2008,96,High income,106,2019
Andorra,AND,2009,98,High income,106,2019
Andorra,AND,2010,99,High income,106,2019
Andorra,AND,2011,94,High income,106,2019
Andorra,AND,2012,92,High income,106,2019
Andorra,AND,2013,93,High income,106,2019
Andorra,AND,2014,95,High income,106,2019
Andorra,AND,2015,97,High income,106,2019
Andorra,AND,2016,98,High income,106,2019
Andorra,AND,2017,101,,106,2019
Andorra,AND,2018,104,,106,2019
Andorra,AND,2019,106,,106,2019
Andorra,AND,1987,,Not categorized,106,2019
Andorra,AND,1988,,Not categorized,106,2019
Andorra,AND,1989,,Not categorized,106,2019
Angola,AGO,1990,4507,Lower-middle income,7511,2019
Angola,AGO,1991,4613,Lower-middle income,7511,2019
Angola,AGO,1992,4732,Lower-middle income,7511,2019
Angola,AGO,1993,4916,Lower-middle income,7511,2019
Angola,AGO,1994,5085,Lower-middle income,7511,2019
Angola,AGO,1995,5178,Low income,7511,2019
Angola,AGO,1996,5151,Low income,7511,2019
Angola,AGO,1997,5198,Low income,7511,2019
Angola,AGO,1998,5369,Low income,7511,2019
Angola,AGO,1999,5484,Low income,7511,2019
Angola,AGO,2000,5561,Low income,7511,2019
Angola,AGO,2001,5568,Low income,7511,2019
Angola,AGO,2002,5440,Low income,7511,2019
Angola,AGO,2003,5460,Low income,7511,2019
Angola,AGO,2004,5597,Lower-middle income,7511,2019
Angola,AGO,2005,5536,Lower-middle income,7511,2019
Angola,AGO,2006,5662,Lower-middle income,7511,2019
Angola,AGO,2007,5704,Lower-middle income,7511,2019
Angola,AGO,2008,5792,Lower-middle income,7511,2019
Angola,AGO,2009,5904,Lower-middle income,7511,2019
Angola,AGO,2010,6005,Lower-middle income,7511,2019
Angola,AGO,2011,6158,Upper-middle income,7511,2019
Angola,AGO,2012,6351,Upper-middle income,7511,2019
Angola,AGO,2013,6477,Upper-middle income,7511,2019
