Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Land Use (ha)
Africa,1961,291178000,203815,0.000860979,0.86097856,0.75853664,268695
Africa,1962,298334460,205292,0.000846615,0.8466148,0.7552692,271813
Africa,1963,305755600,190031,0.000764818,0.764818,0.6261751,303479
Africa,1964,313466080,271203,0.001064852,1.0648515,0.8858298,306157
Africa,1965,321447400,241032,0.000922968,0.92296797,0.7752344,310915
Africa,1966,329658400,227365,0.000848876,0.8488763,0.904381,251404
Africa,1967,338159970,204295,0.000743434,0.74343383,0.8337619,245028
Africa,1968,346980400,193881,0.000687437,0.68743725,0.79190373,244829
Africa,1969,356070660,240766,0.000819576,0.8195761,0.9993276,240928
Africa,1970,365450430,192022,0.000638031,0.6380309,0.7302633,262949
Africa,1971,375086300,218519,0.000707133,0.70713315,0.7828182,279144
Africa,1972,384930780,216364,0.000672205,0.6722049,0.77424943,279450
Africa,1973,395212400,221869,0.000671128,0.6711278,0.805376,275485
Africa,1974,406069220,228463,0.000672421,0.6724209,0.779208,293199
Africa,1975,417557000,249993,0.000709207,0.7092072,0.81069434,308369
Africa,1976,429573250,282717,0.000779506,0.7795064,0.900912,313812
Africa,1977,441701760,266629,0.00071507,0.7150704,0.87118286,306054
Africa,1978,454463040,269049,0.000701434,0.7014343,0.829955,324173
Africa,1979,467976260,309168,0.000794004,0.7940041,0.96505827,320362
Africa,1980,481543140,307034,0.000766484,0.76648395,1.0116441,303500
Africa,1981,495655680,243187,0.000589917,0.58991683,0.91712266,265163
Africa,1982,510540600,269491,0.000634653,0.6346526,0.99265885,271484
Africa,1983,525335360,292459,0.000669325,0.6693248,0.94110286,310762
Africa,1984,540183100,332365,0.000739545,0.7395452,1.057487,314297
Africa,1985,555653000,312744,0.000676158,0.6761584,0.98046553,318975
Africa,1986,571646800,302461,0.000635308,0.6353077,0.97643346,309761
Africa,1987,588080000,309288,0.000631071,0.6310706,0.9943001,311061
Africa,1988,604511550,310518,0.000615701,0.6157007,1.0329459,300614
Africa,1989,621167940,348796,0.000672418,0.67241775,1.1595187,300811
Africa,1990,638157600,361252,0.000667661,0.66766096,1.151342,313766
Africa,1991,655040900,437031,0.000786056,0.7860562,1.2287611,355668
Africa,1992,671931840,485629,0.000851057,0.8510571,1.2330742,393836
Africa,1993,689140300,487756,0.000847711,0.8477107,1.1749532,415128
Africa,1994,706488600,415245,0.000703761,0.70376147,1.2696527,327054
Africa,1995,724331970,444894,0.000735286,0.73528645,1.3071661,340350
Africa,1996,742765060,469037,0.000755667,0.75566676,1.2854308,364887
Africa,1997,761224800,508182,0.000798738,0.79873804,1.3194324,385152
Africa,1998,779908300,520154,0.000797859,0.7978593,1.3190061,394353
Africa,1999,799099600,456692,0.0006835,0.6834999,1.1350417,402357
Africa,2000,818952400,489420,0.000714573,0.7145728,1.1782918,415364
Africa,2001,839464100,444931,0.00063355,0.6335504,1.1545404,385375
Africa,2002,860611800,436272,0.000605734,0.6057342,1.0953324,398301
Africa,2003,882349600,436821,0.000591279,0.5912788,1.0956187,398698
Africa,2004,904781600,455352,0.000600768,0.60076796,1.037565,438866
Africa,2005,927898430,497922,0.000640296,0.64029626,1.0760065,462750
Africa,2006,951740540,445415,0.000558242,0.5582415,1.0054787,442988
Africa,2007,976461760,497463,0.000608141,0.60814054,1.0854291,458310
Africa,2008,1001981600,596202,0.000710054,0.7100541,1.1075604,538302
Africa,2009,1028200500,657601,0.000762909,0.7629086,1.1445656,574542
Africa,2010,1055233700,626223,0.000707601,0.70760126,1.0666795,587077
Africa,2011,1082676100,721226,0.000794098,0.79409796,1.0323108,698652
Africa,2012,1110797400,612251,0.000656875,0.65687473,1.1066064,553269
Africa,2013,1140180900,667734,0.000697684,0.69768436,1.1091337,602032
Africa,2014,1170299300,728601,0.000741309,0.74130873,1.1788745,618048
Africa,2015,1201108200,617223,0.000611486,0.6114862,0.9981661,618357
Africa,2016,1232111900,602540,0.000581478,0.58147754,1.1125616,541579
Africa,2017,1263334000,521809,0.000490652,0.4906522,1.0017201,520913
Africa,2018,1295265300,691914,0.000633998,0.6339984,1.1924617,580240
Africa,2019,1327701400,674009,0.000602046,0.6020455,1.1914117,565723
Africa,2020,1360677500,694424,0.000604798,0.6047982,1.1847489,586136
Africa (FAO),1961,270510700,203815,,,0.7585,268695
Africa (FAO),1962,277177280,205292,,,0.7553,271813
Africa (FAO),1963,284055300,190031,,,0.62619996,303479
Africa (FAO),1964,291157440,271203,,,0.8858,306157
Africa (FAO),1965,298478340,241032,,,0.7752,310915
Africa (FAO),1966,306022270,227365,,,0.9044,251404
Africa (FAO),1967,313800030,204295,,,0.83379996,245028
Africa (FAO),1968,321824640,193881,,,0.7919,244829
Africa (FAO),1969,330113900,240766,,,0.9993,240928
Africa (FAO),1970,338682850,192022,,,0.7303,262949
Africa (FAO),1971,347551330,218519,,,0.78279996,279144
Africa (FAO),1972,356727460,216364,,,0.77419996,279450
